"","2019-02-21 sedentary less than 20 mins","2019-02-21 sedentary more than 20 mins","2019-02-21 sedentary all bouts","2019-02-21 stepping less than 20 mins","2019-02-21 stepping more than 20 mins","2019-02-21 stepping all bouts","2019-02-21 all bouts less than 20 mins","2019-02-21 all bouts more than 20 mins","2019-02-21 all bouts","2019-02-22 sedentary less than 20 mins","2019-02-22 sedentary more than 20 mins","2019-02-22 sedentary all bouts","2019-02-22 stepping less than 20 mins","2019-02-22 stepping more than 20 mins","2019-02-22 stepping all bouts","2019-02-22 all bouts less than 20 mins","2019-02-22 all bouts more than 20 mins","2019-02-22 all bouts","2019-02-23 sedentary less than 20 mins","2019-02-23 sedentary more than 20 mins","2019-02-23 sedentary all bouts","2019-02-23 stepping less than 20 mins","2019-02-23 stepping more than 20 mins","2019-02-23 stepping all bouts","2019-02-23 all bouts less than 20 mins","2019-02-23 all bouts more than 20 mins","2019-02-23 all bouts","2019-02-24 sedentary less than 20 mins","2019-02-24 sedentary more than 20 mins","2019-02-24 sedentary all bouts","2019-02-24 stepping less than 20 mins","2019-02-24 stepping more than 20 mins","2019-02-24 stepping all bouts","2019-02-24 all bouts less than 20 mins","2019-02-24 all bouts more than 20 mins","2019-02-24 all bouts","2019-02-25 sedentary less than 20 mins","2019-02-25 sedentary more than 20 mins","2019-02-25 sedentary all bouts","2019-02-25 stepping less than 20 mins","2019-02-25 stepping more than 20 mins","2019-02-25 stepping all bouts","2019-02-25 all bouts less than 20 mins","2019-02-25 all bouts more than 20 mins","2019-02-25 all bouts","2019-02-26 sedentary less than 20 mins","2019-02-26 sedentary more than 20 mins","2019-02-26 sedentary all bouts","2019-02-26 stepping less than 20 mins","2019-02-26 stepping more than 20 mins","2019-02-26 stepping all bouts","2019-02-26 all bouts less than 20 mins","2019-02-26 all bouts more than 20 mins","2019-02-26 all bouts","2019-02-27 sedentary less than 20 mins","2019-02-27 sedentary more than 20 mins","2019-02-27 sedentary all bouts","2019-02-27 stepping less than 20 mins","2019-02-27 stepping more than 20 mins","2019-02-27 stepping all bouts","2019-02-27 all bouts less than 20 mins","2019-02-27 all bouts more than 20 mins","2019-02-27 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",324,9,333,4199,NA,4199,4523,9,4532,350,13,363,3073,NA,3073,3423,13,3436,309,6,315,2180,NA,2180,2489,6,2495,157,7,164,571,NA,571,728,7,735,263,8,271,2772,NA,2772,3035,8,3043,395,10,405,4190,NA,4190,4585,10,4595,197,6,203,2566,NA,2566,2763,6,2769,1995,59,2054,19551,NA,19551,21546,59,21605
"average duration",68.7453703703704,2539.23333333333,135.515315315315,1.21085972850679,NA,1.21085972850679,6.04861817377847,2539.23333333333,11.0792144748455,74.3534285714286,3779.49230769231,207.04435261708,1.33963553530752,NA,1.33963553530752,8.80525854513585,3779.49230769231,23.0715366705471,63.8799352750809,2783.45,115.68126984127,1.38683486238532,NA,1.38683486238532,9.14511852149458,2783.45,15.8167935871743,66.3904458598726,2480.78571428571,169.443902439024,1.72066549912434,NA,1.72066549912434,15.6673076923077,2480.78571428571,39.1446258503401,71.941825095057,3894.7875,184.793357933579,1.20559163059163,NA,1.20559163059163,7.33528830313015,3894.7875,17.5553401248768,62.5050632911392,3866.2,156.423456790123,1.26140811455847,NA,1.26140811455847,6.53757906215921,3866.2,14.9372796517954,66.5086294416244,3438.26666666667,166.166502463054,1.20035074045207,NA,1.20035074045207,5.85678610206298,3438.26666666667,13.2942939689419,67.7552882205514,3330.55254237288,161.477312560857,1.27431844918419,NA,1.27431844918419,7.42996379838485,3330.55254237288,16.5049109002546
"min duration",0.4,1235.4,0.4,0.7,NA,0.7,0.4,1235.4,0.4,0.4,1265.3,0.4,0.7,NA,0.7,0.4,1265.3,0.4,0.3,1207.6,0.3,0.7,NA,0.7,0.3,1207.6,0.3,0.4,1410.7,0.4,0.7,NA,0.7,0.4,1410.7,0.4,0.3,1386.7,0.3,0.7,NA,0.7,0.3,1386.7,0.3,0.3,1304.9,0.3,0.7,NA,0.7,0.3,1304.9,0.3,0.4,1329.6,0.4,0.7,NA,0.7,0.4,1329.6,0.4,0.3,1207.6,0.3,0.7,NA,0.7,0.3,1207.6,0.3
"max duration",866.8,4626.3,4626.3,5.9,NA,5.9,866.8,4626.3,4626.3,1147.9,15043.6,15043.6,5.9,NA,5.9,1147.9,15043.6,15043.6,1165,5889.5,5889.5,5.9,NA,5.9,1165,5889.5,5889.5,1060.2,4984.1,4984.1,5.9,NA,5.9,1060.2,4984.1,4984.1,1031.6,11408.1,11408.1,5.9,NA,5.9,1031.6,11408.1,11408.1,1031,12203.4,12203.4,5.9,NA,5.9,1031,12203.4,12203.4,1153.2,6924.5,6924.5,5.9,NA,5.9,1153.2,6924.5,6924.5,1165,15043.6,15043.6,5.9,NA,5.9,1165,15043.6,15043.6
"median duration",18.8,2758.5,19.7,1,NA,1,1,2758.5,1,19.95,2645.9,21.5,1,NA,1,1,2645.9,1,12.9,1976.75,13.6,1.1,NA,1.1,1.1,1976.75,1.1,14.4,2179.8,15.1,1.3,NA,1.3,1.4,2179.8,1.4,20,3060.6,21.7,1,NA,1,1,3060.6,1,19.7,2553.45,20,1,NA,1,1,2553.45,1,17.1,2996.1,17.3,1,NA,1,1,2996.1,1,18,2758.5,18.85,1,NA,1,1,2758.5,1
"duration interquartile range",54.425,1520.7,66.7,0.3,NA,0.3,0.3,1520.7,0.3,48.925,2040.1,55.75,0.3,NA,0.3,0.6,2040.1,0.6,37.4,1732.25,39.95,0.3,NA,0.3,0.6,1732.25,0.7,59.5,1213.75,69.25,0.8,NA,0.8,2.1,1213.75,2.2,42.6,840.925,49,0.2,NA,0.2,0.3,840.925,0.3,37.3,2739.2,39.9,0.3,NA,0.3,0.4,2739.2,0.4,43.1,436.724999999999,54.3,0.2,NA,0.2,0.3,436.724999999999,0.3,44.95,1740.25,52.3,0.3,NA,0.3,0.4,1740.25,0.4
"duration stddev",131.816659229123,1131.30548040748,456.863170612739,0.707838235877788,NA,0.707838235877788,39.3059855432675,1131.30548040748,128.540059890644,165.143563235697,3724.49609845894,980.548282435716,0.911924117615558,NA,0.911924117615558,57.1986123283849,3724.49609845894,324.539257095808,154.158442228719,1781.48212312108,460.956713635365,0.882420260728694,NA,0.882420260728694,58.0297225482887,1781.48212312108,167.911071456118,135.846540863371,1249.60583575858,561.064969521304,1.09880010083594,NA,1.09880010083594,68.332025817338,1249.60583575858,273.478414722573,153.812026648421,3145.10274800931,836.443113356578,0.726381591471994,NA,0.726381591471994,49.3925216004775,3145.10274800931,254.624517382574,142.463100662734,3351.24683198491,786.93351479073,0.864692943695118,NA,0.864692943695118,45.1717073954964,3351.24683198491,237.475573367064,139.459630164291,1858.31992473488,657.30904546385,0.74470441938719,NA,0.74470441938719,40.7823319901686,1858.31992473488,182.70207488777,147.483191248893,2659.13207290597,719.755350030886,0.823529155985896,NA,0.823529155985896,48.8371409322208,2659.13207290597,226.799771158207
"duration coeff of variation",191.746234719447,44.5530336088641,337.130286381075,58.4574925743614,NA,58.4574925743614,649.834134243486,44.5530336088641,1160.19109642189,222.106184487578,98.5448783922266,473.593348498232,68.0725535849736,NA,68.0725535849736,649.596057119552,98.5448783922266,1406.66511177867,241.325294969194,64.0026629945242,398.471346543705,63.6283586937636,NA,63.6283586937636,634.54314355682,64.0026629945242,1061.59994142097,204.617605897837,50.3713734145868,331.12136904614,63.8590185829336,NA,63.8590185829336,436.144021419121,50.3713734145868,698.635914335089,213.800562392167,80.751587808303,452.637000977721,60.2510479535703,NA,60.2510479535703,673.354877945295,80.751587808303,1450.41061905579,227.922496453066,86.6806381455928,503.078969701184,68.5498161709372,NA,68.5498161709372,690.954663278324,86.6806381455928,1589.81808537353,209.686519381214,54.0481616144245,395.572534608771,62.0405681681611,NA,62.0405681681611,696.326129714786,54.0481616144245,1374.28941555377,217.670376914076,79.8405681662494,445.73156353443,64.625067345852,NA,64.625067345852,657.299850408923,79.8405681662494,1374.13508336303
