"","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"average duration",NA,NA,NA,NA,NA,NA,NA,NA,NA
"min duration",NA,NA,NA,NA,NA,NA,NA,NA,NA
"max duration",NA,NA,NA,NA,NA,NA,NA,NA,NA
"median duration",NA,NA,NA,NA,NA,NA,NA,NA,NA
"duration interquartile range",NA,NA,NA,NA,NA,NA,NA,NA,NA
"duration stddev",NA,NA,NA,NA,NA,NA,NA,NA,NA
"duration coeff of variation",NA,NA,NA,NA,NA,NA,NA,NA,NA
