"","2019-04-20 sedentary less than 20 mins","2019-04-20 sedentary more than 20 mins","2019-04-20 sedentary all bouts","2019-04-20 stepping less than 20 mins","2019-04-20 stepping more than 20 mins","2019-04-20 stepping all bouts","2019-04-20 all bouts less than 20 mins","2019-04-20 all bouts more than 20 mins","2019-04-20 all bouts","2019-04-21 sedentary less than 20 mins","2019-04-21 sedentary more than 20 mins","2019-04-21 sedentary all bouts","2019-04-21 stepping less than 20 mins","2019-04-21 stepping more than 20 mins","2019-04-21 stepping all bouts","2019-04-21 all bouts less than 20 mins","2019-04-21 all bouts more than 20 mins","2019-04-21 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",621,7,628,671,NA,671,1292,7,1299,443,10,453,519,NA,519,962,10,972,1064,17,1081,1190,NA,1190,2254,17,2271
"average duration",38.6685990338164,3167.14285714286,73.540127388535,3.56438152011923,NA,3.56438152011923,20.4372291021672,3167.14285714286,37.3940723633564,49.4038374717833,4717.15,152.444591611479,3.74990366088632,NA,3.74990366088632,24.7734927234927,4717.15,73.0489711934156,43.1382518796992,4078.91176470588,106.605550416281,3.64529411764706,NA,3.64529411764706,22.2879325643301,4078.91176470588,52.6545574636724
"min duration",0.3,1308.4,0.3,0.7,NA,0.7,0.3,1308.4,0.3,0.4,1211.4,0.4,1.1,NA,1.1,0.4,1211.4,0.4,0.3,1211.4,0.3,0.7,NA,0.7,0.3,1211.4,0.3
"max duration",735.7,6832.5,6832.5,5.9,NA,5.9,735.7,6832.5,6832.5,940.7,15306.1,15306.1,5.9,NA,5.9,940.7,15306.1,15306.1,940.7,15306.1,15306.1,5.9,NA,5.9,940.7,15306.1,15306.1
"median duration",21.1,2167.2,21.7,3.6,NA,3.6,5.5,2167.2,5.6,25.2,4135.05,25.8,3.9,NA,3.9,5.6,4135.05,5.6,22.55,3925.2,22.9,3.7,NA,3.7,5.55,3925.2,5.6
"duration interquartile range",25.9,3140.45,26.95,2.35,NA,2.35,16.325,3140.45,16.85,40.3,3690.625,43.5,2.15,NA,2.15,18.15,3690.625,20,28.9,3735,30.9,2.3,NA,2.3,17.275,3735,18
"duration stddev",69.5420865570738,2185.58492998796,398.175399083207,1.38102207355928,NA,1.38102207355928,51.2968887679709,2185.58492998796,278.943327832074,85.7846050839158,4296.58339982674,919.873018193332,1.30339436215128,NA,1.30339436215128,62.4816183088904,4296.58339982674,631.979924078023,76.8675159457203,3576.8272197372,669.101473638132,1.35029780444488,NA,1.35029780444488,56.3703381681858,3576.8272197372,464.378434470235
"duration coeff of variation",179.841236286471,69.008094316264,541.439637409825,38.7450688363206,NA,38.7450688363206,250.997278112087,69.008094316264,745.956003725924,173.639558127263,91.084307258127,603.414662645248,34.7580759406285,NA,34.7580759406285,252.211583591679,91.084307258127,865.145550653542,178.188759618917,87.6907230670412,627.642248480848,37.0422182920171,NA,37.0422182920171,252.918650060893,87.6907230670412,881.933980340867
