"","sitting","standing","stepping"
"count",552,1781,2127
"minimum time",1.3,0.3,0.8
"maximum time",15453.4,1339.5,5.9
"mean time",360.765942028986,39.6587310499719,3.66939351198872
"median time",24.15,20.2,3.7
"time standard deviation",1568.09731484363,74.0527931812124,1.32471220496324
"time coefficient of deviation",4.3465780223723,1.86725069664741,0.361016664098609
"total time",199142.8,70632.2,7804.8
"minimum steps",0,0,2
"maximum steps",0,0,2
"mean steps",0,0,2
"median steps",0,0,2
"steps standard deviation",0,0,0
"steps coefficient of deviation",NA,NA,0
"total steps",0,0,4254
