"","sitting","standing","stepping"
"count",248,722,1127
"minimum time",10.2,0.3,0.7
"maximum time",14304.1,2044.9,5.9
"mean time",472.539112903226,64.7584487534626,2.79041703637977
"median time",23.65,25.75,2.6
"time standard deviation",1727.37490972498,154.857055797222,1.66378105840151
"time coefficient of deviation",3.65551731604224,2.39130273775963,0.596248172481081
"total time",117189.7,46755.6,3144.8
"minimum steps",0,0,2
"maximum steps",0,0,2
"mean steps",0,0,2
"median steps",0,0,2
"steps standard deviation",0,0,0
"steps coefficient of deviation",NA,NA,0
"total steps",0,0,2254
