"","sitting","standing","stepping"
"count",319,990,2445
"minimum time",10.1,0.3,0.7
"maximum time",11173.4,954.7,5.9
"mean time",400.942006269592,51.1962626262626,2.01116564417178
"median time",38.5,22.3,0.7
"time standard deviation",1211.29925309849,91.6402615065595,1.71965688280072
"time coefficient of deviation",3.02113331643285,1.78997951814455,0.855054822452921
"total time",127900.5,50684.3,4917.3
"minimum steps",0,0,2
"maximum steps",0,0,2
"mean steps",0,0,2
"median steps",0,0,2
"steps standard deviation",0,0,0
"steps coefficient of deviation",NA,NA,0
"total steps",0,0,4890
