"","sitting","standing","stepping"
"count",NA,NA,NA
"minimum time",NA,NA,NA
"maximum time",NA,NA,NA
"mean time",NA,NA,NA
"median time",NA,NA,NA
"time standard deviation",NA,NA,NA
"time coefficient of deviation",NA,NA,NA
"total time",NA,NA,NA
"minimum steps",NA,NA,NA
"maximum steps",NA,NA,NA
"mean steps",NA,NA,NA
"median steps",NA,NA,NA
"steps standard deviation",NA,NA,NA
"steps coefficient of deviation",NA,NA,NA
"total steps",NA,NA,NA
