"","2019-03-10 sedentary less than 20 mins","2019-03-10 sedentary more than 20 mins","2019-03-10 sedentary all bouts","2019-03-10 stepping less than 20 mins","2019-03-10 stepping more than 20 mins","2019-03-10 stepping all bouts","2019-03-10 all bouts less than 20 mins","2019-03-10 all bouts more than 20 mins","2019-03-10 all bouts","2019-03-11 sedentary less than 20 mins","2019-03-11 sedentary more than 20 mins","2019-03-11 sedentary all bouts","2019-03-11 stepping less than 20 mins","2019-03-11 stepping more than 20 mins","2019-03-11 stepping all bouts","2019-03-11 all bouts less than 20 mins","2019-03-11 all bouts more than 20 mins","2019-03-11 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",523,12,535,515,NA,515,1038,12,1050,386,12,398,334,NA,334,720,12,732,909,24,933,849,NA,849,1758,24,1782
"average duration",59.2982791586998,3161.15833333333,128.872710280374,3.75126213592233,NA,3.75126213592233,31.7388246628131,3161.15833333333,67.503619047619,58.5670984455959,4647.06666666667,196.913819095477,3.82994011976048,NA,3.82994011976048,33.1751388888889,4647.06666666667,108.812704918033,58.9877887788779,3904.1125,157.897749196141,3.78221436984688,NA,3.78221436984688,32.3270762229807,3904.1125,84.4723344556678
"min duration",0.3,1208.3,0.3,0.8,NA,0.8,0.3,1208.3,0.3,0.3,1629,0.3,1,NA,1,0.3,1629,0.3,0.3,1208.3,0.3,0.8,NA,0.8,0.3,1208.3,0.3
"max duration",1017.8,8432.3,8432.3,5.9,NA,5.9,1017.8,8432.3,8432.3,1177.9,10417.8,10417.8,5.9,NA,5.9,1177.9,10417.8,10417.8,1177.9,10417.8,10417.8,5.9,NA,5.9,1177.9,10417.8,10417.8
"median duration",25.7,2577.5,25.9,3.8,NA,3.8,5.8,2577.5,5.8,25.1,3099.4,26.05,3.9,NA,3.9,5.9,3099.4,6.2,25.2,2864.7,25.9,3.8,NA,3.8,5.8,2864.7,5.9
"duration interquartile range",41.9,2466.75,43.6,2.1,NA,2.1,22.1,2466.75,22.65,42.775,3685.775,50.025,2.1,NA,2.1,23.4,3685.775,24.1,42.1,3084.8,44.7,2.1,NA,2.1,22.4,3084.8,23.975
"duration stddev",121.225444394651,2230.64929172013,572.911570036417,1.31095851083979,NA,1.31095851083979,90.3898292923735,2230.64929172013,413.525500273907,124.858296742048,3020.00940947762,940.76622396113,1.25578612637757,NA,1.25578612637757,95.3655877860438,3020.00940947762,699.943497105795,122.713538123663,2705.11854201599,752.457672433434,1.28936206115509,NA,1.28936206115509,92.4359341927807,2705.11854201599,549.743797458888
"duration coeff of variation",204.433326083908,70.5643013258367,444.556158390708,34.9471314810546,NA,34.9471314810546,284.792616779786,70.5643013258367,612.597526041076,213.188462559796,64.9874345711477,477.755308531689,32.7886621490079,NA,32.7886621490079,287.461005379495,64.9874345711477,643.255305189824,208.032104040495,69.2889495888243,476.547434187125,34.0901370222251,NA,34.0901370222251,285.939667278261,69.2889495888243,650.797448657467
