"","2019-02-21 sedentary less than 20 mins","2019-02-21 sedentary more than 20 mins","2019-02-21 sedentary all bouts","2019-02-21 stepping less than 20 mins","2019-02-21 stepping more than 20 mins","2019-02-21 stepping all bouts","2019-02-21 all bouts less than 20 mins","2019-02-21 all bouts more than 20 mins","2019-02-21 all bouts","2019-02-22 sedentary less than 20 mins","2019-02-22 sedentary more than 20 mins","2019-02-22 sedentary all bouts","2019-02-22 stepping less than 20 mins","2019-02-22 stepping more than 20 mins","2019-02-22 stepping all bouts","2019-02-22 all bouts less than 20 mins","2019-02-22 all bouts more than 20 mins","2019-02-22 all bouts","2019-02-23 sedentary less than 20 mins","2019-02-23 sedentary more than 20 mins","2019-02-23 sedentary all bouts","2019-02-23 stepping less than 20 mins","2019-02-23 stepping more than 20 mins","2019-02-23 stepping all bouts","2019-02-23 all bouts less than 20 mins","2019-02-23 all bouts more than 20 mins","2019-02-23 all bouts","2019-02-24 sedentary less than 20 mins","2019-02-24 sedentary more than 20 mins","2019-02-24 sedentary all bouts","2019-02-24 stepping less than 20 mins","2019-02-24 stepping more than 20 mins","2019-02-24 stepping all bouts","2019-02-24 all bouts less than 20 mins","2019-02-24 all bouts more than 20 mins","2019-02-24 all bouts","2019-02-25 sedentary less than 20 mins","2019-02-25 sedentary more than 20 mins","2019-02-25 sedentary all bouts","2019-02-25 stepping less than 20 mins","2019-02-25 stepping more than 20 mins","2019-02-25 stepping all bouts","2019-02-25 all bouts less than 20 mins","2019-02-25 all bouts more than 20 mins","2019-02-25 all bouts","2019-02-26 sedentary less than 20 mins","2019-02-26 sedentary more than 20 mins","2019-02-26 sedentary all bouts","2019-02-26 stepping less than 20 mins","2019-02-26 stepping more than 20 mins","2019-02-26 stepping all bouts","2019-02-26 all bouts less than 20 mins","2019-02-26 all bouts more than 20 mins","2019-02-26 all bouts","2019-02-27 sedentary less than 20 mins","2019-02-27 sedentary more than 20 mins","2019-02-27 sedentary all bouts","2019-02-27 stepping less than 20 mins","2019-02-27 stepping more than 20 mins","2019-02-27 stepping all bouts","2019-02-27 all bouts less than 20 mins","2019-02-27 all bouts more than 20 mins","2019-02-27 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",347,8,355,6544,NA,6544,6891,8,6899,500,7,507,6379,NA,6379,6879,7,6886,542,5,547,4083,NA,4083,4625,5,4630,690,6,696,7199,NA,7199,7889,6,7895,427,11,438,5436,NA,5436,5863,11,5874,599,8,607,4662,NA,4662,5261,8,5269,237,9,246,3715,NA,3715,3952,9,3961,3342,54,3396,38018,NA,38018,41360,54,41414
"average duration",56.4262247838617,3094.85,124.897746478873,1.26780256723716,NA,1.26780256723716,4.04533449426789,3094.85,7.62939556457458,50.2238,3175.58571428571,93.3747534516765,1.40406019752312,NA,1.40406019752312,4.9525221689199,3175.58571428571,8.17564623874528,67.7326568265683,1644.34,82.1440585009141,1.56443791329904,NA,1.56443791329904,9.31863783783784,1644.34,11.0843196544276,49.8466666666667,2522.55,71.1630747126437,1.51318238644256,NA,1.51318238644256,5.74060083660794,2522.55,7.6533122229259,55.3936768149883,2880.26363636364,126.337899543379,1.37350993377483,NA,1.37350993377483,5.30777758826539,2880.26363636364,10.6915900578822,62.5358931552588,2614.5125,96.1698517298188,1.47552552552553,NA,1.47552552552553,8.42765633909903,2614.5125,12.3845131903587,45.8759493670886,2683,142.356097560976,1.31224764468371,NA,1.31224764468371,3.98471659919028,2683,10.0718505427922,56.1884500299222,2723.90555555556,98.6079799764429,1.41391709190384,NA,1.41391709190384,5.83984767891683,2723.90555555556,9.38395228666634
"min duration",0.3,1297.6,0.3,0.7,NA,0.7,0.3,1297.6,0.3,0.3,1227.9,0.3,0.7,NA,0.7,0.3,1227.9,0.3,0.3,1375.8,0.3,0.7,NA,0.7,0.3,1375.8,0.3,0.4,1274.3,0.4,0.7,NA,0.7,0.4,1274.3,0.4,0.3,1220.5,0.3,0.7,NA,0.7,0.3,1220.5,0.3,0.4,1518.9,0.4,0.7,NA,0.7,0.4,1518.9,0.4,0.3,1209.2,0.3,0.7,NA,0.7,0.3,1209.2,0.3,0.3,1209.2,0.3,0.7,NA,0.7,0.3,1209.2,0.3
"max duration",1108,6189.4,6189.4,5.9,NA,5.9,1108,6189.4,6189.4,1186.3,8855.2,8855.2,5.9,NA,5.9,1186.3,8855.2,8855.2,1121.1,2209.7,2209.7,5.9,NA,5.9,1121.1,2209.7,2209.7,1157.4,5187.6,5187.6,5.9,NA,5.9,1157.4,5187.6,5187.6,1122.2,5678.8,5678.8,5.9,NA,5.9,1122.2,5678.8,5678.8,952.4,6048.6,6048.6,5.9,NA,5.9,952.4,6048.6,6048.6,1007.2,4642.5,4642.5,5.9,NA,5.9,1007.2,4642.5,4642.5,1186.3,8855.2,8855.2,5.9,NA,5.9,1186.3,8855.2,8855.2
"median duration",21.9,2865.95,22.9,1.1,NA,1.1,1.1,2865.95,1.1,18.4,2427.1,18.6,1.1,NA,1.1,1.1,2427.1,1.1,19.6,1483.5,19.9,1.2,NA,1.2,1.2,1483.5,1.2,16.35,1794.5,16.5,1.1,NA,1.1,1.2,1794.5,1.2,16.4,2978,16.75,1.1,NA,1.1,1.1,2978,1.1,22.1,2167.1,22.6,1.1,NA,1.1,1.2,2167.1,1.2,16.6,2490.6,17.7,1.1,NA,1.1,1.1,2490.6,1.1,18.5,2297.75,19,1.1,NA,1.1,1.1,2297.75,1.1
"duration interquartile range",43.1,1637.525,48.65,0.2,NA,0.2,0.2,1637.525,0.2,31.55,665.95,33.05,0.3,NA,0.3,0.3,665.95,0.3,41.675,257.9,43.55,0.4,NA,0.4,0.9,257.9,0.9,27.95,1846.5,29.375,0.5,NA,0.5,0.8,1846.5,0.8,31.45,1940.3,38.05,0.3,NA,0.3,0.3,1940.3,0.3,45.85,458.85,48.6,0.3,NA,0.3,0.6,458.85,0.6,28.8,1119.9,33.225,0.2,NA,0.2,0.3,1119.9,0.3,35.175,1722.325,38.025,0.3,NA,0.3,0.4,1722.325,0.4
"duration stddev",117.620317827169,1587.99504407287,517.028222350358,0.647685542026826,NA,0.647685542026826,28.9939288913215,1587.99504407287,120.27086512196,129.455675028769,2559.65122521837,476.948234148114,0.848946079033115,NA,0.848946079033115,37.1104655736702,2559.65122521837,131.513752326371,156.428737544327,339.159494928271,218.273308563181,0.97375863323458,NA,0.97375863323458,57.5919335271891,339.159494928271,79.3541410527932,128.928367153227,1584.38633009756,294.734693236394,0.965593062683068,NA,0.965593062683068,40.4879154985015,1584.38633009756,89.6599054958224,128.477304154968,1544.0077145356,516.203432950255,0.798992630526936,NA,0.798992630526936,37.3794332612892,1544.0077145356,144.587894330336,125.280193246558,1431.08941962558,352.117162231219,0.916025464886088,NA,0.916025464886088,46.4901443539783,1431.08941962558,123.197453784091,102.757069799077,998.481733683696,537.445173533547,0.734046392722233,NA,0.734046392722233,27.2616202651139,998.481733683696,137.949844138411,130.522039265264,1536.38353056371,406.216130184795,0.853190476494237,NA,0.853190476494237,39.9961304546037,1536.38353056371,119.328538450501
"duration coeff of variation",208.449738180623,51.3108888661121,413.961209810791,51.0872559154288,NA,51.0872559154288,716.725129464695,51.3108888661121,1576.41406981716,257.757626919447,80.6040666357549,510.789283523994,60.4636525222156,NA,60.4636525222156,749.324572569528,80.6040666357549,1608.6037541976,230.950245971996,20.6258739024941,265.720141598253,62.2433543036006,NA,62.2433543036006,618.02952887964,20.6258739024941,715.913502378065,258.6499274172,62.8089167745954,414.16801399677,63.8120739003012,NA,63.8120739003012,705.290554959146,62.8089167745954,1171.51767606242,231.934963595348,53.6064718188412,408.589532369907,58.1715946044201,NA,58.1715946044201,704.238876623784,53.6064718188412,1352.35164786122,200.333259709785,54.736377034938,366.140901641882,62.0813024945695,NA,62.0813024945695,551.637875150333,54.736377034938,994.770257744159,223.988977267454,37.215122388509,377.535759087062,55.9380994659096,NA,55.9380994659096,684.154558711995,37.215122388509,1369.65737877369,232.293361350522,56.4037004671537,411.950564530212,60.342327098219,NA,60.342327098219,684.883110890011,56.4037004671537,1271.62345678223
