"","2019-02-20 sedentary less than 20 mins","2019-02-20 sedentary more than 20 mins","2019-02-20 sedentary all bouts","2019-02-20 stepping less than 20 mins","2019-02-20 stepping more than 20 mins","2019-02-20 stepping all bouts","2019-02-20 all bouts less than 20 mins","2019-02-20 all bouts more than 20 mins","2019-02-20 all bouts","2019-02-21 sedentary less than 20 mins","2019-02-21 sedentary more than 20 mins","2019-02-21 sedentary all bouts","2019-02-21 stepping less than 20 mins","2019-02-21 stepping more than 20 mins","2019-02-21 stepping all bouts","2019-02-21 all bouts less than 20 mins","2019-02-21 all bouts more than 20 mins","2019-02-21 all bouts","2019-02-22 sedentary less than 20 mins","2019-02-22 sedentary more than 20 mins","2019-02-22 sedentary all bouts","2019-02-22 stepping less than 20 mins","2019-02-22 stepping more than 20 mins","2019-02-22 stepping all bouts","2019-02-22 all bouts less than 20 mins","2019-02-22 all bouts more than 20 mins","2019-02-22 all bouts","2019-02-23 sedentary less than 20 mins","2019-02-23 sedentary more than 20 mins","2019-02-23 sedentary all bouts","2019-02-23 stepping less than 20 mins","2019-02-23 stepping more than 20 mins","2019-02-23 stepping all bouts","2019-02-23 all bouts less than 20 mins","2019-02-23 all bouts more than 20 mins","2019-02-23 all bouts","2019-02-24 sedentary less than 20 mins","2019-02-24 sedentary more than 20 mins","2019-02-24 sedentary all bouts","2019-02-24 stepping less than 20 mins","2019-02-24 stepping more than 20 mins","2019-02-24 stepping all bouts","2019-02-24 all bouts less than 20 mins","2019-02-24 all bouts more than 20 mins","2019-02-24 all bouts","2019-02-25 sedentary less than 20 mins","2019-02-25 sedentary more than 20 mins","2019-02-25 sedentary all bouts","2019-02-25 stepping less than 20 mins","2019-02-25 stepping more than 20 mins","2019-02-25 stepping all bouts","2019-02-25 all bouts less than 20 mins","2019-02-25 all bouts more than 20 mins","2019-02-25 all bouts","2019-02-26 sedentary less than 20 mins","2019-02-26 sedentary more than 20 mins","2019-02-26 sedentary all bouts","2019-02-26 stepping less than 20 mins","2019-02-26 stepping more than 20 mins","2019-02-26 stepping all bouts","2019-02-26 all bouts less than 20 mins","2019-02-26 all bouts more than 20 mins","2019-02-26 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",428,8,436,6933,NA,6933,7361,8,7369,358,8,366,5967,NA,5967,6325,8,6333,519,7,526,8696,NA,8696,9215,7,9222,433,6,439,6583,NA,6583,7016,6,7022,420,10,430,5167,NA,5167,5587,10,5597,392,14,406,8622,NA,8622,9014,14,9028,243,8,251,5421,NA,5421,5664,8,5672,2793,61,2854,47389,NA,47389,50182,61,50243
"average duration",59.7609813084112,3255.0375,118.389908256881,1.1843357853743,NA,1.1843357853743,4.59023230539329,3255.0375,8.11901207762247,54.4237430167598,3223.4625,123.692349726776,1.17759343053461,NA,1.17759343053461,4.19136758893281,3223.4625,8.25802936996684,45.1745664739884,2356.04285714286,75.927566539924,1.23283118675253,NA,1.23283118675253,3.70768312533912,2356.04285714286,5.4932335718933,59.8836027713626,3749.96666666667,110.317539863326,1.26571471973264,NA,1.26571471973264,4.88338084378563,3749.96666666667,8.08339504414697,62.6769047619048,2036.67,108.583720930233,1.2271917940778,NA,1.2271917940778,5.84664399498837,2036.67,9.47505806682151,43.4448979591837,2278.62142857143,120.519950738916,1.20953375086987,NA,1.20953375086987,3.04626137120036,2278.62142857143,6.57506645990253,74.9205761316872,3456.925,182.713545816733,1.13982660025825,NA,1.13982660025825,4.30520833333333,3456.925,9.17491184767278,55.8528464017186,2799.06393442623,114.484898388227,1.20785625356095,NA,1.20785625356095,4.24925471284524,2799.06393442623,7.64243775252274
"min duration",0.4,1598.6,0.4,0.7,NA,0.7,0.4,1598.6,0.4,0.3,2065.1,0.3,0.7,NA,0.7,0.3,2065.1,0.3,0.4,1594.7,0.4,0.7,NA,0.7,0.4,1594.7,0.4,0.4,1323.1,0.4,0.7,NA,0.7,0.4,1323.1,0.4,0.4,1277.5,0.4,0.7,NA,0.7,0.4,1277.5,0.4,0.4,1253.8,0.4,0.7,NA,0.7,0.4,1253.8,0.4,0.4,1633.8,0.4,0.7,NA,0.7,0.4,1633.8,0.4,0.3,1253.8,0.3,0.7,NA,0.7,0.3,1253.8,0.3
"max duration",1153.7,6383.3,6383.3,5.9,NA,5.9,1153.7,6383.3,6383.3,1171.8,4601.4,4601.4,5.9,NA,5.9,1171.8,4601.4,4601.4,947.4,3692.3,3692.3,5.9,NA,5.9,947.4,3692.3,3692.3,1095.2,6219.9,6219.9,5.9,NA,5.9,1095.2,6219.9,6219.9,1192.8,5156.7,5156.7,5.9,NA,5.9,1192.8,5156.7,5156.7,1059.9,6195.2,6195.2,5.9,NA,5.9,1059.9,6195.2,6195.2,946.4,5226.4,5226.4,5.9,NA,5.9,946.4,5226.4,5226.4,1192.8,6383.3,6383.3,5.9,NA,5.9,1192.8,6383.3,6383.3
"median duration",18,2567.5,18.35,1,NA,1,1,2567.5,1,20.9,3318.15,22.05,1,NA,1,1,3318.15,1,14.1,1916.5,14.55,1,NA,1,1,1916.5,1,17.9,3714.5,18,1,NA,1,1,3714.5,1,15.55,1598.2,16.65,1,NA,1,1,1598.2,1,16.55,1725.8,17.05,1,NA,1,1,1725.8,1,18.1,3658.45,18.6,1,NA,1,1,3658.45,1,17,2264.4,17.65,1,NA,1,1,2264.4,1
"duration interquartile range",36.9,1732.75,38.525,0.2,NA,0.2,0.2,1732.75,0.2,33.475,1266.275,38.325,0.2,NA,0.2,0.2,1266.275,0.2,27.2,1367.2,30,0.3,NA,0.3,0.4,1367.2,0.4,32.6,1061.6,33.65,0.3,NA,0.3,0.4,1061.6,0.4,35.95,718.4,41.15,0.2,NA,0.2,0.3,718.4,0.3,28.15,889.225,31.825,0.1,NA,0.1,0.2,889.225,0.2,55.15,2503.525,67.9,0.2,NA,0.2,0.2,2503.525,0.2,33.2,2102.4,37.05,0.2,NA,0.2,0.3,2102.4,0.3
"duration stddev",130.453697568675,1850.79833580578,506.111136619781,0.740079500327439,NA,0.740079500327439,34.2896256567056,1850.79833580578,126.047946648448,126.980029177978,909.689576468651,496.936704049644,0.717593456655608,NA,0.717593456655608,32.5901901609926,909.689576468651,122.68997245303,107.308681728371,859.933644450049,300.111368059656,0.735053224470281,NA,0.735053224470281,27.3955008752228,859.933644450049,73.6790260266536,147.101531558954,1611.48201686108,484.735028204444,0.772836450559777,NA,0.772836450559777,39.1424645079448,1611.48201686108,123.919209133339,153.739198824871,1160.99934543957,374.274561492044,0.794506588219854,NA,0.794506588219854,45.1225842073024,1160.99934543957,107.50383206936,99.666037611548,1358.89617601854,485.396722580966,0.698740006887544,NA,0.698740006887544,22.4855866627437,1358.89617601854,105.748029874088,150.595221203242,1416.5882744417,657.639828945736,0.601604778413849,NA,0.601604778413849,34.5407133503167,1416.5882744417,143.041453028211,130.917498162655,1416.25355828124,465.202003294593,0.726241033398715,NA,0.726241033398715,33.3325639576998,1416.25355828124,113.91680738286
"duration coeff of variation",218.292428793022,56.8595088629786,427.495167511768,62.4889925194268,NA,62.4889925194268,747.012860687183,56.8595088629786,1552.50349972824,233.31733934374,28.2208828695433,401.752173960094,60.9372842993726,NA,60.9372842993726,777.555045447364,28.2208828695433,1485.70520830593,237.542250217629,36.4990662985171,395.260090288621,59.6231854262648,NA,59.6231854262648,738.884633586833,36.4990662985171,1341.2687638778,245.645760694446,42.9732357672802,439.399780674035,61.0592923121746,NA,61.0592923121746,801.544375916446,42.9732357672802,1533.00944042153,245.2884350446,57.0047845473037,344.687544583708,64.7418432924661,NA,64.7418432924661,771.768971156455,57.0047845473037,1134.59813450435,229.407921973217,59.6367680466558,402.752174727059,57.7693682698004,NA,57.7693682698004,738.137143297178,59.6367680466558,1608.3187982811,201.006491112058,40.9782761975368,359.929432711775,52.7803771448694,NA,52.7803771448694,802.300624638376,40.9782761975368,1559.04988955827,234.397182233181,50.5973993970791,406.34355259421,60.1264456145042,NA,60.1264456145042,784.43318205749,50.5973993970791,1490.58207697219
