"","time","datacount","interval","activity","cumulativesteps","methrs"
"91",2019-04-11 02:42:52,97737,2.7,2,70,0.00177222222222222
"92",2019-04-11 02:42:55,97764,79.3,1,70,0.0308388888888889
"93",2019-04-11 02:44:14,98557,5.1,2,72,0.00270555555555556
"94",2019-04-11 02:44:19,98608,2.6,2,74,0.00173333333333333
"95",2019-04-11 02:44:22,98634,4.7,2,76,0.00255
"96",2019-04-11 02:44:27,98681,58.9,1,76,0.0229055555555556
"97",2019-04-11 02:45:26,99270,2.5,2,78,0.00169444444444444
"98",2019-04-11 02:45:28,99295,5,2,80,0.00266666666666667
"99",2019-04-11 02:45:33,99345,4.4,2,82,0.00243333333333333
"100",2019-04-11 02:45:37,99389,5.4,2,84,0.00282222222222222
"101",2019-04-11 02:45:43,99443,188.1,1,84,0.07315
"102",2019-04-11 02:48:51,101324,4.6,2,86,0.00251111111111111
"103",2019-04-11 02:48:55,101370,49.6,1,86,0.0192888888888889
"104",2019-04-11 02:49:45,101866,2.4,2,88,0.00165555555555556
"105",2019-04-11 02:49:48,101890,141.3,1,88,0.05495
"106",2019-04-11 02:52:09,103303,1.9,2,90,0.00146111111111111
"107",2019-04-11 02:52:11,103322,7.4,1,90,0.00287777777777778
"108",2019-04-11 02:52:18,103396,1,2,92,0.00111111111111111
"109",2019-04-11 02:52:19,103406,4.5,2,94,0.00247222222222222
"110",2019-04-11 02:52:24,103451,1.5,2,96,0.00130555555555556
"111",2019-04-11 02:52:25,103466,883.1,1,96,0.343427777777778
"112",2019-04-11 03:07:08,112297,2414.3,0,96,0.838298611111111
"113",2019-04-11 03:47:23,136440,229.7,1,96,0.0893277777777778
"114",2019-04-11 03:51:12,138737,593.4,0,96,0.206041666666667
"115",2019-04-11 04:01:06,144671,78.2,1,96,0.0304111111111111
"116",2019-04-11 04:02:24,145453,89.2,0,96,0.0309722222222222
"117",2019-04-11 04:03:53,146345,39.5,1,96,0.0153611111111111
"118",2019-04-11 04:04:33,146740,11.4,0,96,0.00395833333333333
"119",2019-04-11 04:04:44,146854,23.9,1,96,0.00929444444444444
"120",2019-04-11 04:05:08,147093,2.7,2,98,0.00177222222222222
"121",2019-04-11 04:05:10,147120,52,1,98,0.0202222222222222
"125",2019-04-11 10:44:21,386623,13.4,1,98,0.00521111111111111
"126",2019-04-11 10:44:34,386757,14.3,0,98,0.00496527777777778
"127",2019-04-11 10:44:48,386900,62.6,1,98,0.0243444444444444
"128",2019-04-11 10:45:51,387526,11.2,0,98,0.00388888888888889
"129",2019-04-11 10:46:02,387638,17.6,1,98,0.00684444444444444
"130",2019-04-11 10:46:20,387814,10.4,0,98,0.00361111111111111
"131",2019-04-11 10:46:30,387918,21.4,1,98,0.00832222222222222
"132",2019-04-11 10:46:52,388132,12,0,98,0.00416666666666667
"133",2019-04-11 10:47:04,388252,27.4,1,98,0.0106555555555556
"134",2019-04-11 10:47:31,388526,45,0,98,0.015625
"135",2019-04-11 10:48:16,388976,13.2,1,98,0.00513333333333333
"136",2019-04-11 10:48:29,389108,4.6,2,100,0.00251111111111111
"137",2019-04-11 10:48:34,389154,22.2,1,100,0.00863333333333333
"138",2019-04-11 10:48:56,389376,2.5,2,102,0.00169444444444444
"139",2019-04-11 10:48:59,389401,3.4,2,104,0.00204444444444444
"140",2019-04-11 10:49:02,389435,8.3,1,104,0.00322777777777778
"141",2019-04-11 10:49:10,389518,3.4,2,106,0.00204444444444444
"142",2019-04-11 10:49:14,389552,8.2,1,106,0.00318888888888889
"143",2019-04-11 10:49:22,389634,2.8,2,108,0.00181111111111111
"144",2019-04-11 10:49:25,389662,18.7,1,108,0.00727222222222222
"145",2019-04-11 10:49:43,389849,2.3,2,110,0.00161666666666667
"146",2019-04-11 10:49:46,389872,3.8,2,112,0.0022
"147",2019-04-11 10:49:49,389910,1.9,2,114,0.00146111111111111
"148",2019-04-11 10:49:51,389929,2.1,2,116,0.00153888888888889
"149",2019-04-11 10:49:53,389950,3.5,2,118,0.00208333333333333
"150",2019-04-11 10:49:57,389985,61.8,1,118,0.0240333333333333
"151",2019-04-11 10:50:59,390603,39.5,0,118,0.0137152777777778
"152",2019-04-11 10:51:38,390998,10.6,1,118,0.00412222222222222
"153",2019-04-11 10:51:49,391104,3.7,2,120,0.00216111111111111
"154",2019-04-11 10:51:53,391141,5.5,2,122,0.00286111111111111
"155",2019-04-11 10:51:58,391196,24.7,1,122,0.00960555555555555
"156",2019-04-11 10:52:23,391443,20.6,0,122,0.00715277777777778
"157",2019-04-11 10:52:43,391649,51.1,1,122,0.0198722222222222
"158",2019-04-11 10:53:34,392160,5.8,2,124,0.00297777777777778
"159",2019-04-11 10:53:40,392218,10.8,1,124,0.0042
"160",2019-04-11 10:53:51,392326,2.4,2,126,0.00165555555555556
"161",2019-04-11 10:53:53,392350,5.4,2,128,0.00282222222222222
"162",2019-04-11 10:53:59,392404,8,1,128,0.00311111111111111
"163",2019-04-11 10:54:07,392484,54.1,0,128,0.0187847222222222
"164",2019-04-11 10:55:01,393025,11.9,1,128,0.00462777777777778
"165",2019-04-11 10:55:13,393144,4.2,2,130,0.00235555555555556
"166",2019-04-11 10:55:17,393186,25.7,1,130,0.00999444444444444
"167",2019-04-11 10:55:43,393443,3.5,2,132,0.00208333333333333
"168",2019-04-11 10:55:46,393478,3.5,1,132,0.00136111111111111
"169",2019-04-11 10:55:50,393513,43.9,0,132,0.0152430555555556
"170",2019-04-11 10:56:34,393952,20.4,1,132,0.00793333333333333
"171",2019-04-11 10:56:54,394156,3.9,2,134,0.00223888888888889
"172",2019-04-11 10:56:58,394195,2.4,2,136,0.00165555555555556
"173",2019-04-11 10:57:00,394219,21.5,1,136,0.00836111111111111
"174",2019-04-11 10:57:22,394434,95.9,0,136,0.0332986111111111
"175",2019-04-11 10:58:58,395393,13.1,1,136,0.00509444444444444
"176",2019-04-11 10:59:11,395524,5.9,2,138,0.00301666666666667
"177",2019-04-11 10:59:17,395583,15.7,1,138,0.00610555555555556
"178",2019-04-11 10:59:32,395740,4843.4,0,138,1.68173611111111
"179",2019-04-11 12:20:16,444174,97.3,1,138,0.0378388888888889
"180",2019-04-11 12:21:53,445147,5.4,2,140,0.00282222222222222
"181",2019-04-11 12:21:59,445201,27.1,1,140,0.0105388888888889
"182",2019-04-11 12:22:26,445472,2.5,2,142,0.00169444444444444
"183",2019-04-11 12:22:28,445497,42.2,1,142,0.0164111111111111
"184",2019-04-11 12:23:10,445919,2.3,2,144,0.00161666666666667
"185",2019-04-11 12:23:13,445942,4.9,2,146,0.00262777777777778
"186",2019-04-11 12:23:18,445991,14,1,146,0.00544444444444444
"187",2019-04-11 12:23:32,446131,4.6,2,148,0.00251111111111111
"188",2019-04-11 12:23:36,446177,12.3,1,148,0.00478333333333333
"189",2019-04-11 12:23:48,446300,5.9,2,150,0.00301666666666667
"190",2019-04-11 12:23:54,446359,12.1,1,150,0.00470555555555555
"191",2019-04-11 12:24:07,446480,3.4,2,152,0.00204444444444444
"192",2019-04-11 12:24:10,446514,27.6,1,152,0.0107333333333333
"193",2019-04-11 12:24:38,446790,4.2,2,154,0.00235555555555556
"194",2019-04-11 12:24:42,446832,40,1,154,0.0155555555555556
"195",2019-04-11 12:25:22,447232,2.2,2,156,0.00157777777777778
"196",2019-04-11 12:25:24,447254,4.1,2,158,0.00231666666666667
"197",2019-04-11 12:25:28,447295,3.4,2,160,0.00204444444444444
"198",2019-04-11 12:25:31,447329,1.4,2,162,0.00126666666666667
"199",2019-04-11 12:25:33,447343,1.6,2,164,0.00134444444444444
"200",2019-04-11 12:25:34,447359,1.6,2,166,0.00134444444444444
"201",2019-04-11 12:25:36,447375,1.6,2,168,0.00134444444444444
"202",2019-04-11 12:25:38,447391,40.5,1,168,0.01575
"203",2019-04-11 12:26:18,447796,3.2,2,170,0.00196666666666667
"204",2019-04-11 12:26:21,447828,1.8,2,172,0.00142222222222222
"205",2019-04-11 12:26:23,447846,1.6,2,174,0.00134444444444444
